stationID;date;year;month;day;hour;temperature;relativeHumidity
35165000;1/01/19 0:00;2019;1;1;0;8.8;67.8
35165000;1/01/19 1:00;2019;1;1;1;8.8;59.0
35165000;1/01/19 2:00;2019;1;1;2;8.9;59.2
35165000;1/01/19 3:00;2019;1;1;3;8.5;58.9
35165000;1/01/19 4:00;2019;1;1;4;8.9;57.9
35165000;1/01/19 5:00;2019;1;1;5;9.1;58.6
35165000;1/01/19 6:00;2019;1;1;6;9.2;59.1
35165000;1/01/19 7:00;2019;1;1;7;10.7;63.2
35165000;1/01/19 8:00;2019;1;1;8;12.3;65.1
35165000;1/01/19 9:00;2019;1;1;9;14.7;54.9
35165000;1/01/19 10:00;2019;1;1;10;16.2;40.1
35165000;1/01/19 11:00;2019;1;1;11;16.3;40.6
35165000;1/01/19 12:00;2019;1;1;12;17.1;41.1
35165000;1/01/19 13:00;2019;1;1;13;16.7;43.2
35165000;1/01/19 14:00;2019;1;1;14;16.9;40.8
35165000;1/01/19 15:00;2019;1;1;15;16.5;48.3
35165000;1/01/19 16:00;2019;1;1;16;15.3;54.0
35165000;1/01/19 17:00;2019;1;1;17;14.2;60.4
35165000;1/01/19 18:00;2019;1;1;18;10.4;74.6
35165000;1/01/19 19:00;2019;1;1;19;9.5;79.1
35165000;1/01/19 20:00;2019;1;1;20;9.1;76.4
35165000;1/01/19 21:00;2019;1;1;21;8.8;76.5
35165000;1/01/19 22:00;2019;1;1;22;8.0;77.5
35165000;1/01/19 23:00;2019;1;1;23;7.4;81.2
35165000;2/01/19 0:00;2019;1;2;0;8.8;73.6
35165000;2/01/19 1:00;2019;1;2;1;8.8;69.1
35165000;2/01/19 2:00;2019;1;2;2;8.9;60.8
35165000;2/01/19 3:00;2019;1;2;3;8.5;59.9
35165000;2/01/19 4:00;2019;1;2;4;8.9;64.2
35165000;2/01/19 5:00;2019;1;2;5;9.3;68.5
35165000;2/01/19 6:00;2019;1;2;6;9.4;73.0
35165000;2/01/19 7:00;2019;1;2;7;10.8;62.5
35165000;2/01/19 8:00;2019;1;2;8;12.4;58.6
